Player,Tournament,Year,DOB,Age
Andre Agassi,Australian Open,01/2003,04/1970,32
Andre Agassi,Australian Open,01/1995,04/1970,24
Andre Agassi,Australian Open,01/2000,04/1970,29
Andre Agassi,Australian Open,01/2001,04/1970,30
Marat Safin,Australian Open,01/2005,01/1980,25
Novak Djokovic,Australian Open,01/2008,05/1987,20
Novak Djokovic,Australian Open,01/2011,05/1987,23
Novak Djokovic,Australian Open,01/2012,05/1987,24
Novak Djokovic,Australian Open,01/2013,05/1987,25
Novak Djokovic,Australian Open,01/2015,05/1987,27
Novak Djokovic,Australian Open,01/2016,05/1987,28
Novak Djokovic,Australian Open,01/2019,05/1987,31
Novak Djokovic,Australian Open,01/2020,05/1987,32
Rafael Nadal,Australian Open,01/2009,06/1986,22
Roger Federer,Australian Open,01/2004,08/1981,22
Roger Federer,Australian Open,01/2006,08/1981,24
Roger Federer,Australian Open,01/2007,08/1981,25
Roger Federer,Australian Open,01/2010,08/1981,28
Roger Federer,Australian Open,01/2017,08/1981,35
Roger Federer,Australian Open,01/2018,08/1981,36
Stan Wawrinka,Australian Open,01/2014,03/1985,28
Andre Agassi,French Open,06/1999,04/1970,29
Gastón Gaudio,French Open,06/2004,12/1978,25
Juan Carlos Ferrero,French Open,06/2003,02/1980,23
Novak Djokovic,French Open,06/2016,05/1987,29
Rafael Nadal,French Open,06/2005,06/1986,18
Rafael Nadal,French Open,06/2006,06/1986,19
Rafael Nadal,French Open,06/2007,06/1986,20
Rafael Nadal,French Open,06/2008,06/1986,21
Rafael Nadal,French Open,06/2010,06/1986,23
Rafael Nadal,French Open,06/2011,06/1986,24
Rafael Nadal,French Open,06/2012,06/1986,25
Rafael Nadal,French Open,06/2013,06/1986,26
Rafael Nadal,French Open,06/2014,06/1986,27
Rafael Nadal,French Open,06/2017,06/1986,30
Rafael Nadal,French Open,06/2018,06/1986,31
Rafael Nadal,French Open,06/2019,06/1986,32
Roger Federer,French Open,06/2009,08/1981,27
Stan Wawrinka,French Open,06/2015,03/1985,30
Andre Agassi,US Open,09/1994,04/1970,24
Andre Agassi,US Open,09/1999,04/1970,29
Andy Murray,US Open,09/2012,05/1987,25
Andy Roddick,US Open,09/2003,08/1982,21
Dominic Thiem,US Open,09/2020,09/1993,27
Juan Martín del Potro,US Open,09/2009,09/1988,21
Marat Safin,US Open,09/2000,01/1980,20
Marin Čilić,US Open,09/2014,09/1988,26
Novak Djokovic,US Open,09/2011,05/1987,24
Novak Djokovic,US Open,09/2015,05/1987,28
Novak Djokovic,US Open,09/2018,05/1987,31
Rafael Nadal,US Open,09/2010,06/1986,24
Rafael Nadal,US Open,09/2013,06/1986,27
Rafael Nadal,US Open,09/2017,06/1986,31
Rafael Nadal,US Open,09/2019,06/1986,33
Roger Federer,US Open,09/2004,08/1981,23
Roger Federer,US Open,09/2005,08/1981,24
Roger Federer,US Open,09/2006,08/1981,25
Roger Federer,US Open,09/2007,08/1981,26
Roger Federer,US Open,09/2008,08/1981,27
Stan Wawrinka,US Open,09/2016,03/1985,31
Andre Agassi,Wimbledon,07/1992,04/1970,22
Andy Murray,Wimbledon,07/2013,05/1987,26
Andy Murray,Wimbledon,07/2016,05/1987,29
Novak Djokovic,Wimbledon,07/2011,05/1987,24
Novak Djokovic,Wimbledon,07/2014,05/1987,27
Novak Djokovic,Wimbledon,07/2015,05/1987,28
Novak Djokovic,Wimbledon,07/2018,05/1987,31
Novak Djokovic,Wimbledon,07/2019,05/1987,32
Rafael Nadal,Wimbledon,07/2008,06/1986,22
Rafael Nadal,Wimbledon,07/2010,06/1986,24
Roger Federer,Wimbledon,07/2003,08/1981,21
Roger Federer,Wimbledon,07/2004,08/1981,22
Roger Federer,Wimbledon,07/2005,08/1981,23
Roger Federer,Wimbledon,07/2006,08/1981,24
Roger Federer,Wimbledon,07/2007,08/1981,25
Roger Federer,Wimbledon,07/2009,08/1981,27
Roger Federer,Wimbledon,07/2012,08/1981,30
Roger Federer,Wimbledon,07/2017,08/1981,35
